"ID","grave_type","sex","Birth_year","Death_year","survival_time"
227,1,0,1925,1971,46
228,1,1,1930,2020,90
229,1,1,1930,2013,83
230,1,0,1930,2024,94
231,1,0,1924,2014,90
232,1,1,1923,2010,87
233,1,0,1926,1980,54
234,1,1,1921,2009,88
235,1,1,1898,2000,102
236,1,0,1911,1981,70
237,1,1,1928,1998,70
238,1,0,1904,1989,85
239,1,1,1907,1993,86
240,1,1,1909,1996,87
241,1,0,1907,2003,96
242,1,1,1922,2005,83
243,1,1,1914,2011,97
244,1,0,1903,1947,44
245,1,0,1933,1959,26
246,1,0,1938,2020,82
247,1,1,1906,1989,83
248,1,1,1931,2017,86
249,1,0,1908,1977,69
250,1,1,1907,2002,95
251,1,0,1954,2013,59
252,1,1,1935,2019,84
253,1,1,1899,1959,60
254,1,0,1921,1994,73
255,1,1,1925,2012,87
256,1,0,1930,2017,87
257,1,1,1940,2022,82
258,1,0,1908,1955,47
259,1,1,1917,1992,75
260,1,1,1900,1983,83
261,1,1,1926,2005,79
262,1,0,1926,2006,80
263,1,0,1918,1981,63
264,1,1,1945,1993,48
265,1,1,1919,2007,88
266,1,1,1925,1980,55
267,1,1,1903,1991,88
268,1,0,1934,2005,71
269,1,1,1927,2013,86
270,1,1,1927,2018,91
271,1,0,1963,2020,57
272,1,0,1911,1987,76
273,1,1,1915,1992,77
274,1,1,1917,2011,94
275,0,1,1919,1997,78
276,0,1,1945,1997,52
277,0,0,1932,1996,64
278,0,1,1904,1996,92
279,0,0,1934,1997,63
280,0,1,1909,1997,88
281,0,0,1926,1998,72
282,0,1,1963,1997,34
283,0,1,1984,1997,13
284,0,1,1919,2004,85
285,0,1,1914,2014,100
286,0,0,1930,2022,92
287,0,0,1929,2023,94
288,0,0,1907,1997,90
289,0,1,1914,2009,95
290,0,1,1905,2003,98
291,0,1,1925,2010,85
292,0,0,1962,2021,59
293,0,1,1929,2020,91
294,0,1,1905,1997,92
295,0,0,1932,1999,67
296,0,0,1911,1989,78
297,0,1,1913,2004,91
298,0,1,1907,1995,88
299,0,0,1923,2003,80
300,0,1,1939,2015,76
301,0,1,1914,2011,97
302,0,0,1906,1999,93
303,0,0,1921,1997,76
304,0,1,1925,2015,90
305,0,1,1948,2014,66
306,0,0,1915,2005,90
307,0,0,1942,1997,55
308,0,0,1892,1981,89
309,0,1,1892,1997,105
310,0,1,1919,1997,78
311,0,1,1903,1995,92
312,0,1,1917,2011,94
313,0,0,1922,2008,86
314,0,0,1910,2002,92
315,0,1,1908,2002,94
316,0,0,1908,1998,90
317,0,0,1920,1999,79
318,0,1,1926,2013,87
319,0,1,1920,1997,77
320,0,1,1938,2015,77
321,0,0,1922,2012,90
322,0,1,1924,2016,92
323,0,0,1921,2005,84
324,0,1,1926,2020,94
325,0,1,1921,2017,96
326,0,0,1914,1998,84
327,0,1,1922,2022,100
328,0,1,1916,2002,86
329,0,0,1962,2013,51
330,0,0,1930,1992,62
331,0,1,1920,2014,94
332,0,1,1935,2023,88
333,0,1,1916,1998,82
334,0,0,1914,2003,89
335,0,1,1940,1998,58
336,0,1,1919,1998,79
337,0,1,1911,1989,78
338,0,0,1897,1967,70
